playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Jason Avant,WR,KC,WR,KC,null,0.5233,null,null,null,171,null,null,0.0328,null,null,null,1.0922,0,4.2987,null
Marques Colston,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Jay Cutler,QB,CHI,QB,CHI,null,14.3011,null,null,null,27,null,null,0.2718,null,null,null,15.9021,12.93,5.2378,null
Owen Daniels,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Vernon Davis,TE,WAS,TE,WAS,null,2.7294,null,null,null,56,null,null,0.1015,null,null,null,3.9155,0.97,9.2999,null
Anthony Fasano,TE,TEN,TE,TEN,null,3.314,null,null,null,48,null,null,0.0811,null,null,null,5.5597,1.2,null,null
Bruce Gradkowski,QB,PIT,QB,PIT,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Derek Hagan,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Tarvaris Jackson,QB,SEA,QB,SEA,null,-0.0027,null,null,null,116,null,null,null,null,null,null,-0.0009,-0.006,3.5452,null
Greg Jennings,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Marcedes Lewis,TE,JAC,TE,JAC,null,2.5704,null,null,null,58,null,null,0.0875,null,null,null,3.1476,1.98,4.0475,null
Brandon Marshall,WR,NYJ,WR,NYJ,null,17.5844,null,null,null,8,null,null,0.2065,null,null,null,19.949,15.37,6.5492,null
Delanie Walker,TE,TEN,TE,TEN,null,11.7291,null,null,null,8,null,null,0.3803,null,null,null,12.258,10.3426,3.1598,null
Charlie Whitehurst,QB,IND,QB,IND,null,0.0018,null,null,null,74,null,null,0.0012,null,null,null,0.0031,0,3.5441,null
