"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"Dak Prescott",5000,"QB","Dal",0,"NYG@Dal","04:25PM",17.5945,17,"0.3194",18.9748,13.682,"7.4813"
"Damien Williams",3000,"RB","Mia",2.881,"Mia@Sea","04:05PM",2.6518,80,"0.2094",3.9425,1.3,"13.0231"
"Dan Orlovsky",5000,"QB","Det",3.68,"Det@Ind","04:25PM",0.4501,50,"0.0729",0.924,0.024,"4.7826"
"Daniel Braverman",3000,"WR","Chi",0,"Chi@Hou","01:00PM",0,192,"0",0,0,"2.931"
"Daniel Brown",3000,"WR","Bal",2.067,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Daniel Lasco",3000,"RB","NO",0,"Oak@NO","01:00PM",0.7875,117,"0.0986",0.8264,0.2538,"null"
"Daniel Thomas",3000,"RB","Mia",0,"Mia@Sea","04:05PM",0,142,"0",0,0,"null"
"Danny Amendola",4200,"WR","NE",10.503,"NE@Ari","08:30PM",5.5447,89,"0.1214",6.7425,3.9379,"5.6304"
"Danny Woodhead",5000,"RB","SD",15.194,"SD@KC","01:00PM",11.5149,25,"0.2588",12.1709,9.7748,"4.3416"
"Darius Jackson",3000,"RB","Dal",0,"NYG@Dal","04:25PM",1.1104,107,"0.0442",1.9013,0.12,"4.7337"
"Darius Jennings",3000,"WR","Cle",6.425,"Cle@Phi","01:00PM",0,192,"0",0,0,"2.931"
"Darrel Young",3000,"RB","Chi",0.541,"Chi@Hou","01:00PM",0,142,"0",0,0,"null"
"Darren Fells",2700,"TE","Ari",5.319,"NE@Ari","08:30PM",5.4788,31,"0.3892",7.5505,3.67,"5.3622"
"Darren McFadden",4200,"RB","Dal",13.356,"NYG@Dal","04:25PM",-0.4513,245,"null",-0.1822,-1,"null"
"Darren Sproles",4200,"RB","Phi",10.094,"Cle@Phi","01:00PM",8.8208,42,"0.4941",9.3801,7.3223,"4.3416"
"Darren Waller",2500,"TE","Bal",0.633,"Buf@Bal","01:00PM",0,192,"0",0,0,"null"
"Darrin Reaves",3000,"RB","KC",0,"SD@KC","01:00PM",0,142,"0",0,0,"null"
"Davante Adams",4300,"WR","GB",8.65,"GB@Jax","01:00PM",6.9423,72,"0.1329",8.4854,5.0031,"5.3684"
"David Cobb",3000,"RB","Ten",3.057,"Min@Ten","01:00PM",0,142,"0",0,0,"null"
"David Fales",5000,"QB","Chi",0,"Chi@Hou","01:00PM",0,76,"0",0,0,"3.5681"
"David Johnson",7500,"RB","Ari",14.522,"NE@Ari","08:30PM",0.4555,90,"0.0332",0.6365,0.18,"null"
"David Johnson",7500,"RB","Ari",14.522,"NE@Ari","08:30PM",18.3099,3,"1.2663",19.7245,15.84,"2.9413"
"David Morgan",2500,"TE","Min",0,"Min@Ten","01:00PM",0.1803,106,"0.0513",0.2972,0,"null"
"DeAndre Carter",3000,"WR","NE",0,"NE@Ari","08:30PM",0,192,"0",0,0,"2.931"
