playerId,playername,DKNAME,OwnName,DKPOS,TEAM,FCName
2556118,Dwayne Washington,Dwayne Washington,Dwayne Washington,RB,DET,Dwayne Washington
2553791,E.J. Bibbs,E.J. Bibbs,E.J. Bibbs,,FA,
100025,Eagles,Eagles ,Eagles,DST,PHI,Eagles
497224,Ed Dickson,Ed Dickson,Ed Dickson,TE,CAR,Ed Dickson
2540168,Eddie Lacy,Eddie Lacy,Eddie Lacy,RB,GB,Eddie Lacy
1990,Eddie Royal,Eddie Royal,Eddie Royal,WR,CHI,Eddie Royal
2533540,Edwin Baker,Edwin Baker,Edwin Baker,,FA,
2539228,EJ Manuel,EJ Manuel,EJ Manuel,QB,BUF,
2505996,Eli Manning,Eli Manning,Eli Manning,QB,NYG,Eli Manning
2553737,Eli Rogers,Eli Rogers,Eli Rogers,WR,PIT,Eli Rogers
497322,Emmanuel Sanders,Emmanuel Sanders,Emmanuel Sanders,WR,DEN,Emmanuel Sanders
497284,Eric Decker,Eric Decker,Eric Decker,WR,NYJ,Eric Decker
2543466,Eric Ebron,Eric Ebron,Eric Ebron,TE,DET,Eric Ebron
2541883,Eric Rogers,Eric Rogers,Eric Rogers,,SF,
2507029,Eric Weems,Eric Weems,Eric Weems,WR,ATL,
496812,Erik Lorig,Erik Lorig,Erik Lorig,,FA,
2550405,Erik Swoope,Erik Swoope,Erik Swoope,TE,IND,
2553289,Evan Spencer,Evan Spencer,Evan Spencer,,TB,
2555224,Ezekiel Elliott,Ezekiel Elliott,Ezekiel Elliott,RB,DAL,Ezekiel Elliott
100001,Falcons,Falcons ,Falcons,DST,ATL,Falcons
2550738,Fitzgerald Toussaint,Fitzgerald Toussaint,Fitzgerald Toussaint,RB,PIT,Fitzgerald Toussaint
2540037,Fozzy Whittaker,Fozzy Whittaker,Fozzy Whittaker,RB,CAR,Fozzy Whittaker
2506404,Frank Gore,Frank Gore,Frank Gore,RB,IND,Frank Gore
2541828,Frankie Hammond,Frankie Hammond,Frankie Hammond,,FA,
216,Fred Davis,Fred Davis,Fred Davis,,FA,
2506871,Fred Jackson,Fred Jackson,Fred Jackson,,SEA,
2550223,Freddie Martino,Freddie Martino,Freddie Martino,,ATL,
2553658,Gabe Holmes,Gabe Holmes,Gabe Holmes,,OAK,
2534820,Garrett Celek,Garrett Celek,Garrett Celek,TE,SF,Garrett Celek
2549982,Garrett Gilbert,Garrett Gilbert,Garrett Gilbert,,FA,
497234,Garrett Graham,Garrett Graham,Garrett Graham,,DEN,
2552371,Garrett Grayson,Garrett Grayson,Garrett Grayson,,FA,
1060,Gary Barnidge,Gary Barnidge,Gary Barnidge,TE,CLE,Gary Barnidge
2550485,Gator Hoskins,Gator Hoskins,Gator Hoskins,,FA,
2540211,Gavin Escobar,Gavin Escobar,Gavin Escobar,TE,DAL,Gavin Escobar
2539335,Geno Smith,Geno Smith,Geno Smith,QB,NYJ,
2553454,Geoff Swaim,Geoff Swaim,Geoff Swaim,TE,DAL,Geoff Swaim
2550540,George Atkinson,George Atkinson III,George Atkinson III,,CLE,
2541910,George Winn,George Winn,George Winn,,FA,
2552462,Gerald Christian,Gerald Christian,Gerald Christian,,FA,
2552654,Geremy Davis,Geremy Davis,Geremy Davis,,FA,
2556460,Geronimo Allison,Geronimo Allison,Geronimo Allison,,FA,
100023,Giants,Giants ,Giants,DST,NYG,Giants
2540156,Giovani Bernard,Giovani Bernard,Giovani Bernard,RB,CIN,Giovani Bernard
2551357,Glenn Winston,Glenn Winston,Glenn Winston,,CLE,
497326,Golden Tate,Golden Tate,Golden Tate,WR,DET,Golden Tate
2495867,Greg Jennings,Greg Jennings,Greg Jennings,,FA,
2495192,Greg Little,Greg Little,Greg Little,,FA,
2495700,Greg Olsen,Greg Olsen,Greg Olsen,TE,CAR,Greg Olsen
2495223,Greg Salas,Greg Salas,Greg Salas,WR,BUF,Greg Salas
2535876,Griff Whalen,Griff Whalen,Griff Whalen,,FA,
2553662,Gus Johnson,Gus Johnson,Gus Johnson,,FA,
80672,Hakeem Nicks,Hakeem Nicks,Hakeem Nicks,,FA,
222,Harry Douglas,Harry Douglas,Harry Douglas,WR,TEN,Harry Douglas
2530699,Henry Hynoski,Henry Hynoski,Henry Hynoski,,FA,
2555341,Hunter Henry,Hunter Henry,Hunter Henry,TE,SD,Hunter Henry
2541096,Ifeanyi Momah,Ifeanyi Momah,Ifeanyi Momah,,FA,
2550182,Isaiah Burse,Isaiah Burse,Isaiah Burse,WR,SD,Isaiah Burse
2550189,Isaiah Crowell,Isaiah Crowell,Isaiah Crowell,RB,CLE,Isaiah Crowell
2532926,Isaiah Pead,Isaiah Pead,Isaiah Pead,RB,MIA,Isaiah Pead
2552656,J.J. Nelson,J.J. Nelson,J.J. Nelson,WR,ARI,J.J. Nelson
2543481,Jace Amaro,Jace Amaro,Jace Amaro,TE,TEN,
2556473,Jace Billingsley,Jace Billingsley,Jace Billingsley,,FA,
2540232,Jack Doyle,Jack Doyle,Jack Doyle,TE,IND,Jack Doyle
2507278,Jackie Battle,Jackie Battle,Jackie Battle,,FA,
324,Jacob Tamme,Jacob Tamme,Jacob Tamme,TE,ATL,Jacob Tamme
2555261,Jacoby Brissett,Jacoby Brissett,Jacoby Brissett,QB,NE,Jacoby Brissett
497288,Jacoby Ford,Jacoby Ford,Jacoby Ford,,FA,
2495651,Jacoby Jones,Jacoby Jones,Jacoby Jones,,FA,
2495471,Jacquizz Rodgers,Jacquizz Rodgers,Jacquizz Rodgers,RB,FA,
2552463,Jaelen Strong,Jaelen Strong,Jaelen Strong,WR,HOU,Jaelen Strong
100015,Jaguars,Jaguars ,Jaguars,DST,JAC,Jaguars
2553879,Jahwan Edwards,Jahwan Edwards,Jahwan Edwards,,SD,
2553548,Jake Kumerow,Jake Kumerow,Jake Kumerow,,FA,
2539283,Jake Stoneburner,Jake Stoneburner,Jake Stoneburner,,FA,
2556190,Jakeem Grant,Jakeem Grant,Jakeem Grant,WR,MIA,
2556885,Jalen Richard,Jalen Richard,Jalen Richard,RB,OAK,Jalen Richard
2556606,Jalin Marshall,Jalin Marshall,Jalin Marshall,WR,NYJ,Jalin Marshall
2552464,Jalston Fowler,Jalston Fowler,Jalston Fowler,RB,TEN,
925,Jamaal Charles,Jamaal Charles,Jamaal Charles,RB,KC,
2553600,Jameill Showers,Jameill Showers,Jameill Showers,,DAL,
2552033,Jameis Winston,Jameis Winston,Jameis Winston,QB,TB,Jameis Winston
71247,James Casey,James Casey,James Casey,,FA,
2508101,James Develin,James Develin,James Develin,RB,NE,
2533028,James Hanna,James Hanna,James Hanna,,DAL,
2507183,James Jones,James Jones,James Jones,,FA,
2553318,James OShaughnessy,James OShaughnessy,James OShaughnessy,,KC,
497206,James Starks,James Starks,James Starks,RB,GB,James Starks
2543773,James White,James White,James White,RB,NE,James White
2550271,James Wilder,James Wilder,James Wilder,,CIN,
2550162,James Wright,James Wright,James Wright,WR,CIN,James Wright
